loan_id|loan_amnt|term|emp_title|emp_length|home_ownership|annual_inc|inc_verification_status|issue_date|purpose|zip_code|addr_state|application_type
1810113|12000|60 months|Supervisor|10+ years|MORTGAGE|54411|Not Verified|Mar-18|car|065xx|CT|Individual
1810114|25000|60 months|Nurse|10+ years|RENT|78000|Not Verified|Mar-18|debt_consolidation|201xx|VA|Individual
1810115|12000|36 months|Police officer|5 years|MORTGAGE|110000|Verified|Mar-18|debt_consolidation|935xx|CA|Individual
1810116|20000|36 months|Chef|3 years|RENT|48000|Source Verified|Mar-18|debt_consolidation|920xx|CA|Individual
1810117|25000|60 months|Supervisor|3 years|MORTGAGE|35000|Verified|Mar-18|debt_consolidation|640xx|MO|Joint App
1810118|23000|60 months|Security Officer|4 years|RENT|68000|Source Verified|Mar-18|debt_consolidation|877xx|NM|Individual
1810119|10000|60 months|Security Officer|4 years|RENT|42000|Source Verified|Mar-18|major_purchase|341xx|FL|Individual
1810120|1000|36 months|Security Officer|10+ years|MORTGAGE|44000|Not Verified|Mar-18|medical|786xx|TX|Individual
1810121|30000|60 months|Supervisor|10+ years|MORTGAGE|151000|Source Verified|Mar-18|credit_card|605xx|IL|Individual
1810122|20000|60 months||n/a|OWN|25000|Not Verified|Mar-18|debt_consolidation|610xx|IL|Individual
1810123|25000|60 months|IT Manager|10+ years|MORTGAGE|86000|Not Verified|Mar-18|debt_consolidation|078xx|NJ|Individual
1810124|18000|36 months|Sales Manager|< 1 year|RENT|55000|Source Verified|Mar-18|credit_card|112xx|NY|Individual
1810125|35000|60 months||n/a|MORTGAGE|90000|Source Verified|Mar-18|house|809xx|CO|Joint App
1810126|1000|36 months|Supervisor|2 years|RENT|51000|Verified|Mar-18|credit_card|750xx|TX|Joint App
1810127|3200|36 months|Chef|1 year|RENT|42000|Source Verified|Mar-18|debt_consolidation|147xx|NY|Individual
1810128|30000|36 months|Chef|3 years|OWN|95000|Verified|Mar-18|house|797xx|TX|Individual
1810129|10000|36 months|Supervisor|2 years|RENT|85000|Not Verified|Mar-18|credit_card|606xx|IL|Individual
1810130|35000|36 months|Supervisor|3 years|RENT|200000|Source Verified|Mar-18|credit_card|895xx|NV|Individual
1810131|9000|36 months|Supervisor|2 years|MORTGAGE|79000|Not Verified|Mar-18|home_improvement|531xx|WI|Individual
1810132|11000|36 months|Supervisor|10+ years|RENT|65000|Source Verified|Mar-18|debt_consolidation|799xx|TX|Individual
1810133|27600|36 months|Supervisor|3 years|MORTGAGE|120000|Not Verified|Mar-18|debt_consolidation|200xx|DC|Individual
1810134|20000|36 months|Security Officer|3 years|MORTGAGE|100000|Source Verified|Mar-18|debt_consolidation|762xx|TX|Individual
1810135|15000|60 months|Supervisor|6 years|RENT|96000|Verified|Mar-18|house|331xx|FL|Individual
1810136|3500|36 months|Supervisor|4 years|MORTGAGE|57000|Source Verified|Mar-18|home_improvement|953xx|CA|Individual
1810137|12000|60 months|IT Manager|3 years|MORTGAGE|156000|Source Verified|Mar-18|other|300xx|GA|Individual
1810138|25000|36 months|Attorney|< 1 year|MORTGAGE|80000|Verified|Mar-18|debt_consolidation|175xx|PA|Individual
1810139|20000|36 months|Supervisor|3 years|MORTGAGE|50000|Not Verified|Mar-18|debt_consolidation|618xx|IL|Individual
1810140|10000|36 months|Nurse|5 years|RENT|187000|Not Verified|Mar-18|credit_card|200xx|DC|Individual
1810141|2000|36 months|Mechanic|1 year|OWN|30000|Source Verified|Mar-18|debt_consolidation|550xx|MN|Individual
1810142|15000|36 months|Supervisor|10+ years|RENT|63000|Not Verified|Mar-18|debt_consolidation|331xx|FL|Individual
1810143|3025|36 months|Supervisor|2 years|RENT|68000|Not Verified|Mar-18|medical|317xx|GA|Individual
1810144|7000|36 months|Supervisor|10+ years|RENT|34000|Not Verified|Mar-18|debt_consolidation|295xx|SC|Individual
1810145|35000|60 months|Supervisor|2 years|MORTGAGE|152000|Source Verified|Mar-18|home_improvement|605xx|IL|Joint App
1810146|6300|36 months|Mechanic|5 years|RENT|81000|Not Verified|Mar-18|other|946xx|CA|Individual
1810147|2650|36 months|Supervisor|10+ years|OWN|26000|Source Verified|Mar-18|other|774xx|TX|Individual
1810148|3600|36 months|Supervisor|2 years|MORTGAGE|30000|Not Verified|Mar-18|small_business|334xx|FL|Individual
1810149|5000|36 months|Supervisor|2 years|RENT|60000|Source Verified|Mar-18|credit_card|917xx|CA|Individual
1810150|20000|36 months|Supervisor|1 year|RENT|100000|Not Verified|Mar-18|credit_card|060xx|CT|Individual
1810151|12000|36 months|Supervisor|1 year|RENT|100000|Not Verified|Mar-18|credit_card|750xx|TX|Individual
1810152|2500|36 months|Carpenter|< 1 year|MORTGAGE|39700|Not Verified|Mar-18|other|891xx|NV|Individual
1810153|12000|60 months|Supervisor|6 years|RENT|100000|Not Verified|Mar-18|major_purchase|472xx|IN|Individual
1810154|9000|36 months|Supervisor|7 years|RENT|112000|Not Verified|Mar-18|credit_card|328xx|FL|Individual
1810155|4800|36 months|Supervisor|10+ years|RENT|40000|Source Verified|Mar-18|other|672xx|KS|Individual
1810156|15000|36 months|Supervisor|6 years|RENT|177000|Source Verified|Mar-18|debt_consolidation|775xx|TX|Individual
1810157|24000|60 months|Security Officer|2 years|MORTGAGE|250000|Not Verified|Mar-18|home_improvement|303xx|GA|Individual
1810158|15000|60 months|Nurse|2 years|MORTGAGE|66000|Verified|Mar-18|other|483xx|MI|Individual
1810159|14400|36 months|Accountant|4 years|RENT|62400|Verified|Mar-18|car|075xx|NJ|Individual
1810160|16000|36 months|Truck Driver|4 years|RENT|54000|Not Verified|Mar-18|debt_consolidation|588xx|ND|Individual
1810161|27000|36 months|Truck Driver|10+ years|MORTGAGE|140000|Not Verified|Mar-18|debt_consolidation|060xx|CT|Individual
1810162|15000|36 months|Supervisor|3 years|RENT|30000|Not Verified|Mar-18|debt_consolidation|852xx|AZ|Individual
1810163|12000|60 months|Teacher|10+ years|RENT|60000|Not Verified|Mar-18|credit_card|551xx|MN|Individual
1810164|16000|36 months|Engineer|10+ years|MORTGAGE|60000|Not Verified|Mar-18|debt_consolidation|465xx|IN|Individual
1810165|10000|36 months|Police officer|10+ years|MORTGAGE|61000|Source Verified|Mar-18|debt_consolidation|672xx|KS|Individual
1810166|25000|60 months|Supervisor|10+ years|MORTGAGE|89000|Not Verified|Mar-18|debt_consolidation|071xx|NJ|Individual
1810167|1000|36 months|Supervisor|3 years|RENT|50000|Source Verified|Mar-18|debt_consolidation|330xx|FL|Individual
1810168|23000|36 months|Supervisor|< 1 year|MORTGAGE|75000|Not Verified|Mar-18|credit_card|386xx|MS|Individual
1810169|8000|36 months||n/a|MORTGAGE|27000|Verified|Mar-18|home_improvement|451xx|OH|Individual
1810170|7000|36 months|Security Officer|4 years|RENT|52000|Source Verified|Mar-18|debt_consolidation|235xx|VA|Individual
1810171|16000|60 months|Bartender|< 1 year|MORTGAGE|50000|Not Verified|Mar-18|debt_consolidation|370xx|TN|Joint App
1810172|5000|36 months|Sales Manager|10+ years|RENT|30000|Source Verified|Mar-18|credit_card|958xx|CA|Individual
1810173|6000|36 months|Supervisor|10+ years|OWN|180000|Not Verified|Mar-18|debt_consolidation|430xx|OH|Individual
1810174|5000|36 months|Supervisor|1 year|RENT|20000|Verified|Mar-18|moving|850xx|AZ|Individual
1810175|30000|36 months|Chef|10+ years|MORTGAGE|92964|Source Verified|Mar-18|debt_consolidation|322xx|FL|Individual
1810176|12000|60 months|Supervisor|5 years|RENT|38000|Verified|Mar-18|other|539xx|WI|Individual
1810177|10000|36 months|IT Manager|6 years|RENT|100000|Not Verified|Mar-18|credit_card|951xx|CA|Individual
1810178|14000|36 months|Supervisor|2 years|RENT|31000|Not Verified|Mar-18|debt_consolidation|891xx|NV|Individual
1810179|5000|36 months|Supervisor|4 years|RENT|19500|Verified|Mar-18|other|184xx|PA|Joint App
1810180|7800|36 months|Nurse|8 years|MORTGAGE|40000|Not Verified|Mar-18|debt_consolidation|564xx|MN|Individual
1810181|6000|36 months|Supervisor|8 years|RENT|38000|Not Verified|Mar-18|credit_card|064xx|CT|Individual
1810182|15000|60 months|Supervisor|10+ years|MORTGAGE|79500|Source Verified|Mar-18|debt_consolidation|206xx|MD|Individual
1810183|24000|36 months|Supervisor|< 1 year|RENT|125000|Not Verified|Mar-18|debt_consolidation|088xx|NJ|Individual
1810184|5000|36 months||n/a|MORTGAGE|98000|Not Verified|Mar-18|home_improvement|601xx|IL|Individual
1810185|10000|36 months|Security Officer|5 years|RENT|15500|Source Verified|Mar-18|debt_consolidation|762xx|TX|Joint App
1810186|17000|60 months|Supervisor|3 years|MORTGAGE|100000|Not Verified|Mar-18|debt_consolidation|751xx|TX|Individual
1810249|1200|36 months|Accountant|2 years|MORTGAGE|120000|Source Verified|Mar-18|home_improvement|917xx|CA|Individual
1810250|22000|60 months|Supervisor|4 years|OWN|38000|Verified|Mar-18|debt_consolidation|306xx|GA|Individual
1810251|26275|60 months|Supervisor|5 years|MORTGAGE|500000|Verified|Mar-18|debt_consolidation|607xx|IL|Individual
1810252|24000|60 months|Supervisor|4 years|RENT|85000|Source Verified|Mar-18|credit_card|902xx|CA|Individual
1810253|25000|60 months|Supervisor|< 1 year|MORTGAGE|75700|Not Verified|Mar-18|debt_consolidation|456xx|OH|Individual
1810254|20000|60 months||n/a|RENT|35000|Source Verified|Mar-18|debt_consolidation|921xx|CA|Individual
1810255|11000|60 months|Supervisor|10+ years|MORTGAGE|42000|Not Verified|Mar-18|major_purchase|986xx|WA|Joint App
1810256|2500|36 months|Supervisor|4 years|MORTGAGE|41000|Not Verified|Mar-18|vacation|957xx|CA|Individual
1810257|30000|36 months|Accountant|10+ years|MORTGAGE|160000|Verified|Mar-18|credit_card|334xx|FL|Individual
1810258|3500|36 months|Electrician|< 1 year|RENT|93000|Not Verified|Mar-18|debt_consolidation|103xx|NY|Individual
1810259|40000|60 months|Security Officer|10+ years|RENT|275000|Source Verified|Mar-18|debt_consolidation|484xx|MI|Individual
1810260|12000|36 months|Clerk|10+ years|MORTGAGE|57000|Source Verified|Mar-18|credit_card|700xx|LA|Individual
1810261|25000|60 months||n/a|RENT|98390|Source Verified|Mar-18|other|631xx|MO|Individual
1810262|24000|60 months|Supervisor|10+ years|MORTGAGE|50000|Verified|Mar-18|car|302xx|GA|Individual
1810263|25000|60 months|Supervisor|4 years|RENT|70000|Not Verified|Mar-18|debt_consolidation|480xx|MI|Individual
1810264|30700|36 months|Chef|7 years|RENT|600000|Source Verified|Mar-18|medical|762xx|TX|Individual
1810265|30000|60 months|Supervisor|10+ years|MORTGAGE|97000|Verified|Mar-18|debt_consolidation|070xx|NJ|Individual
1810266|5500|36 months||n/a|OWN|30696|Not Verified|Mar-18|debt_consolidation|104xx|NY|Individual
1810267|8000|36 months|Sales Manager|10+ years|RENT|50000|Not Verified|Mar-18|credit_card|402xx|KY|Individual
1810268|15000|36 months||n/a|MORTGAGE|50457|Verified|Mar-18|debt_consolidation|326xx|FL|Individual
1810269|2400|36 months||n/a|MORTGAGE|111000|Source Verified|Mar-18|home_improvement|453xx|OH|Individual
1810270|8000|36 months|Supervisor|5 years|OWN|40000|Source Verified|Mar-18|medical|730xx|OK|Individual
1810271|20000|36 months|Supervisor|7 years|RENT|44000|Not Verified|Mar-18|debt_consolidation|112xx|NY|Individual
1810272|6000|36 months|Supervisor|10+ years|MORTGAGE|84000|Not Verified|Mar-18|credit_card|925xx|CA|Individual
1810273|17000|60 months|Chef|2 years|RENT|100000|Source Verified|Mar-18|debt_consolidation|373xx|TN|Individual
1810274|12000|36 months|Security Officer|10+ years|RENT|56000|Source Verified|Mar-18|credit_card|601xx|IL|Individual
1810275|21000|60 months|Supervisor|9 years|MORTGAGE|60000|Source Verified|Mar-18|credit_card|970xx|OR|Individual
1810276|2200|36 months|Supervisor|2 years|RENT|31000|Source Verified|Mar-18|other|700xx|LA|Individual
1810277|5600|36 months|Nurse|10+ years|MORTGAGE|88000|Source Verified|Mar-18|other|219xx|MD|Individual
1810278|8300|36 months|Engineer|5 years|MORTGAGE|40000|Source Verified|Mar-18|debt_consolidation|291xx|SC|Individual
1810279|25000|36 months|Security Officer|10+ years|MORTGAGE|67000|Not Verified|Mar-18|debt_consolidation|109xx|NY|Individual
1810280|30000|36 months|Supervisor|10+ years|MORTGAGE|63000|Source Verified|Mar-18|other|968xx|HI|Individual
1810281|14475|36 months|Supervisor|5 years|MORTGAGE|74000|Source Verified|Mar-18|debt_consolidation|117xx|NY|Individual
1810282|4000|36 months|Carpenter|10+ years|OWN|40000|Source Verified|Mar-18|credit_card|922xx|CA|Individual
1810283|20000|60 months||n/a|OWN|33000|Verified|Mar-18|debt_consolidation|469xx|IN|Individual
1810284|10000|36 months||n/a|MORTGAGE|14000|Verified|Mar-18|home_improvement|302xx|GA|Joint App
1810285|40000|60 months|Supervisor|8 years|MORTGAGE|120000|Source Verified|Mar-18|home_improvement|554xx|MN|Individual
1810286|18000|60 months|Security Officer|10+ years|MORTGAGE|93500|Source Verified|Mar-18|debt_consolidation|483xx|MI|Individual
1810287|6000|36 months|Carpenter|< 1 year|RENT|42240|Not Verified|Mar-18|debt_consolidation|334xx|FL|Individual
1810288|21000|60 months||n/a|RENT|9000|Verified|Mar-18|debt_consolidation|071xx|NJ|Joint App
1810289|6000|36 months|Supervisor|10+ years|MORTGAGE|79000|Source Verified|Mar-18|car|217xx|MD|Individual
1810290|35000|60 months|Supervisor|10+ years|RENT|70000|Verified|Mar-18|debt_consolidation|808xx|CO|Individual
1810291|5750|36 months|Supervisor|1 year|RENT|1200|Verified|Mar-18|small_business|329xx|FL|Joint App
1810292|13000|36 months|Supervisor|10+ years|MORTGAGE|54000|Source Verified|Mar-18|credit_card|379xx|TN|Individual
1810293|3000|36 months||n/a|MORTGAGE|24000|Verified|Mar-18|home_improvement|956xx|CA|Individual
1810294|8500|36 months|Teacher|2 years|MORTGAGE|52000|Verified|Mar-18|other|300xx|GA|Individual
1810295|13000|36 months|Supervisor|2 years|RENT|45000|Verified|Mar-18|debt_consolidation|114xx|NY|Individual
1810296|5000|36 months||n/a|RENT|24600|Not Verified|Mar-18|debt_consolidation|103xx|NY|Individual
1810297|30000|60 months|Supervisor|8 years|RENT|60000|Verified|Mar-18|medical|939xx|CA|Joint App
1810298|2100|36 months|Security Officer|3 years|RENT|34000|Not Verified|Mar-18|credit_card|894xx|NV|Individual
1810299|21000|60 months|Supervisor|10+ years|RENT|54200|Verified|Mar-18|debt_consolidation|700xx|LA|Individual
1810300|18000|60 months|Supervisor|5 years|MORTGAGE|125000|Not Verified|Mar-18|home_improvement|662xx|KS|Individual
1810301|8800|36 months|Realtor|4 years|RENT|119000|Not Verified|Mar-18|small_business|752xx|TX|Individual
1810302|12000|36 months||n/a|RENT|50000|Not Verified|Mar-18|major_purchase|638xx|MO|Individual
1810303|12000|36 months|Realtor|10+ years|MORTGAGE|47644|Source Verified|Mar-18|other|580xx|ND|Individual
1810304|17000|36 months|Realtor|3 years|MORTGAGE|35000|Verified|Mar-18|debt_consolidation|748xx|OK|Joint App
1810305|15000|60 months|Security Officer|10+ years|MORTGAGE|73690|Source Verified|Mar-18|other|950xx|CA|Joint App
1810306|12000|36 months|Carpenter|10+ years|MORTGAGE|100000|Source Verified|Mar-18|credit_card|774xx|TX|Individual
1810307|12075|60 months|Supervisor|5 years|OWN|21000|Source Verified|Mar-18|house|330xx|FL|Individual
1810308|16000|36 months|Security Officer|6 years|MORTGAGE|82000|Source Verified|Mar-18|debt_consolidation|970xx|OR|Individual
1810309|40000|36 months|Chef|10+ years|RENT|140000|Source Verified|Mar-18|credit_card|940xx|CA|Individual
1810310|25000|60 months|Supervisor|10+ years|RENT|78000|Not Verified|Mar-18|credit_card|820xx|WY|Individual
1810311|18000|60 months|Electrician|1 year|OWN|25000|Verified|Mar-18|debt_consolidation|792xx|TX|Joint App
1810312|12000|36 months|Security Officer|1 year|MORTGAGE|45000|Source Verified|Mar-18|debt_consolidation|157xx|PA|Individual
1810187|30000|36 months|Supervisor|10+ years|MORTGAGE|71000|Source Verified|Mar-18|debt_consolidation|531xx|WI|Individual
1810188|4400|36 months|Office Manager|1 year|RENT|27100|Not Verified|Mar-18|debt_consolidation|335xx|FL|Individual
1810189|12000|60 months|Supervisor|2 years|MORTGAGE|120000|Not Verified|Mar-18|credit_card|275xx|NC|Individual
1810190|30625|60 months|Sales Manager|2 years|RENT|25000|Verified|Mar-18|debt_consolidation|068xx|CT|Individual
1810191|24000|36 months|Supervisor|10+ years|RENT|109000|Source Verified|Mar-18|home_improvement|913xx|CA|Individual
1810192|4000|36 months|Supervisor|10+ years|RENT|112000|Source Verified|Mar-18|other|705xx|LA|Individual
1810193|17000|36 months|Police officer|3 years|OWN|87700|Source Verified|Mar-18|other|750xx|TX|Individual
1810194|24000|60 months|Police officer|2 years|MORTGAGE|95000|Verified|Mar-18|debt_consolidation|852xx|AZ|Individual
1810195|20000|60 months|Security Officer|4 years|MORTGAGE|45000|Verified|Mar-18|credit_card|800xx|CO|Joint App
1810196|5000|36 months|Security Officer|7 years|RENT|43000|Not Verified|Mar-18|credit_card|900xx|CA|Individual
1810197|5000|36 months|Security Officer|5 years|RENT|46592|Source Verified|Mar-18|other|349xx|FL|Individual
1810198|10000|36 months|Supervisor|< 1 year|RENT|60000|Not Verified|Mar-18|credit_card|891xx|NV|Individual
1810199|14150|60 months|Security Officer|10+ years|RENT|118000|Source Verified|Mar-18|debt_consolidation|302xx|GA|Individual
1810200|10000|36 months|Supervisor|10+ years|MORTGAGE|140000|Not Verified|Mar-18|debt_consolidation|945xx|CA|Individual
1810201|7000|36 months|Supervisor|1 year|RENT|38200|Not Verified|Mar-18|debt_consolidation|284xx|NC|Individual
1810202|8000|36 months|Supervisor|8 years|MORTGAGE|145000|Not Verified|Mar-18|credit_card|335xx|FL|Individual
1810203|4000|36 months|Bartender|10+ years|MORTGAGE|72000|Not Verified|Mar-18|major_purchase|480xx|MI|Individual
1810204|40000|36 months|Carpenter|10+ years|MORTGAGE|250000|Source Verified|Mar-18|debt_consolidation|544xx|WI|Individual
1810205|28100|36 months|Engineer|< 1 year|RENT|72000|Not Verified|Mar-18|debt_consolidation|926xx|CA|Individual
1810206|35000|60 months|Supervisor|8 years|OWN|102000|Verified|Mar-18|debt_consolidation|914xx|CA|Individual
1810207|20000|36 months|Accountant|2 years|RENT|82600|Source Verified|Mar-18|debt_consolidation|900xx|CA|Individual
1810208|10000|60 months|Security Officer|4 years|RENT|27400|Not Verified|Mar-18|debt_consolidation|802xx|CO|Individual
1810209|11000|36 months|Supervisor|1 year|RENT|60000|Not Verified|Mar-18|debt_consolidation|950xx|CA|Individual
1810210|16000|60 months|IT Manager|10+ years|MORTGAGE|130000|Not Verified|Mar-18|home_improvement|379xx|TN|Individual
1810211|12000|60 months|Nurse|7 years|MORTGAGE|89000|Not Verified|Mar-18|medical|207xx|MD|Individual
1810212|6000|36 months|Supervisor|2 years|RENT|31000|Not Verified|Mar-18|home_improvement|751xx|TX|Joint App
1810213|3200|36 months|Realtor|1 year|RENT|30000|Source Verified|Mar-18|other|326xx|FL|Individual
1810214|4800|36 months|Supervisor|10+ years|RENT|56000|Not Verified|Mar-18|credit_card|112xx|NY|Individual
1810215|17600|36 months|Bartender|< 1 year|OWN|75000|Source Verified|Mar-18|debt_consolidation|140xx|NY|Individual
1810216|16000|60 months|Carpenter|2 years|RENT|55000|Not Verified|Mar-18|debt_consolidation|600xx|IL|Individual
1810217|30000|60 months|Nurse|10+ years|MORTGAGE|86000|Source Verified|Mar-18|debt_consolidation|199xx|DE|Individual
1810218|16000|36 months|Supervisor|5 years|RENT|66000|Not Verified|Mar-18|credit_card|928xx|CA|Individual
1810219|2500|36 months|Supervisor|2 years|RENT|36000|Not Verified|Mar-18|debt_consolidation|908xx|CA|Individual
1810220|32000|60 months|Supervisor|5 years|MORTGAGE|95000|Not Verified|Mar-18|debt_consolidation|871xx|NM|Individual
1810221|36000|36 months|Mechanic|4 years|RENT|110000|Source Verified|Mar-18|debt_consolidation|940xx|CA|Individual
1810222|25000|60 months|Supervisor|10+ years|MORTGAGE|102000|Source Verified|Mar-18|other|852xx|AZ|Individual
1810223|10000|36 months|Truck Driver|3 years|RENT|67000|Not Verified|Mar-18|debt_consolidation|937xx|CA|Individual
1810224|4800|36 months|Engineer|5 years|RENT|65000|Not Verified|Mar-18|major_purchase|346xx|FL|Individual
1810225|4000|36 months|Supervisor|10+ years|OWN|45000|Source Verified|Mar-18|other|295xx|SC|Individual
1810226|9500|36 months|Supervisor|10+ years|RENT|64709|Source Verified|Mar-18|debt_consolidation|217xx|MD|Individual
1810227|35000|36 months|Attorney|4 years|MORTGAGE|134315|Verified|Mar-18|debt_consolidation|302xx|GA|Individual
1810228|20000|60 months|Supervisor|3 years|RENT|116000|Not Verified|Mar-18|debt_consolidation|281xx|NC|Individual
1810229|7500|36 months|Supervisor|10+ years|OWN|300000|Verified|Mar-18|other|805xx|CO|Joint App
1810230|18000|36 months|Office Manager|8 years|OWN|85000|Source Verified|Mar-18|debt_consolidation|615xx|IL|Individual
1810231|19000|36 months|Security Officer|10+ years|MORTGAGE|120000|Source Verified|Mar-18|debt_consolidation|604xx|IL|Individual
1810232|36250|36 months|Electrician|7 years|MORTGAGE|45000|Source Verified|Mar-18|debt_consolidation|068xx|CT|Joint App
1810233|15000|60 months|Supervisor|< 1 year|RENT|35000|Source Verified|Mar-18|debt_consolidation|844xx|UT|Individual
1810234|20000|60 months|Supervisor|5 years|MORTGAGE|82000|Verified|Mar-18|debt_consolidation|138xx|NY|Joint App
1810235|35500|60 months|Engineer|2 years|RENT|111000|Verified|Mar-18|debt_consolidation|220xx|VA|Individual
